366	19	44571.2	0	BlQ
367	62	44175.8	0	LIB
368	12	44007.3	0	GRN
369	63	43485.6	0	LIB
370	103	43388.6	0	NDP
371	2	43234.3	0	Oth
372	104	42975.3	0	NDP
373	64	42816.6	0	LIB
374	105	42569.9	0	NDP
375	20	42448.8	0	BlQ
376	106	42172.1	0	NDP
377	65	42167.8	0	LIB
378	107	41781.6	0	NDP
379	66	41538.4	0	LIB
380	108	41398.3	0	NDP
381	109	41021.9	0	NDP
382	67	40927.6	0	LIB
383	13	40863.9	0	GRN
384	110	40652.4	0	NDP
385	21	40519.3	0	BlQ
386	68	40334.4	0	LIB
387	111	40289.4	0	NDP
388	112	39932.8	0	NDP
389	69	39758.2	0	LIB
390	113	39582.6	0	NDP
391	114	39238.4	0	NDP
392	70	39198.3	0	LIB
393	115	38900.1	0	NDP
394	22	38757.6	0	BlQ
395	71	38653.8	0	LIB
396	116	38567.6	0	NDP
397	117	38240.8	0	NDP
398	14	38139.7	0	GRN
399	72	38124.3	0	LIB
400	118	37919.4	0	NDP
401	73	37609.1	0	LIB
402	119	37603.4	0	NDP
403	120	37292.7	0	NDP
404	23	37142.7	0	BlQ
405	74	37107.7	0	LIB
406	121	36987	0	NDP
407	122	36686.3	0	NDP
408	75	36619.4	0	LIB
409	123	36390.4	0	NDP
410	76	36143.8	0	LIB
411	124	36099.3	0	NDP
412	125	35812.8	0	NDP
413	15	35755.9	0	GRN
414	77	35680.5	0	LIB
415	24	35657	0	BlQ
416	126	35530.8	0	NDP
417	127	35253.2	0	NDP
418	78	35228.8	0	LIB
419	128	34979.9	0	NDP
420	166	34941.7	0	CON
421	79	34788.4	0	LIB
422	167	34733.8	0	CON
423	129	34710.9	0	NDP
424	168	34528.2	0	CON
425	130	34445.9	0	NDP
426	80	34359	0	LIB
427	169	34325.1	0	CON
428	25	34285.6	0	BlQ
429	131	34184.9	0	NDP
430	170	34124.4	0	CON
431	81	33940	0	LIB
432	132	33927.9	0	NDP
433	171	33926	0	CON
434	172	33729.9	0	CON
435	133	33674.7	0	NDP
436	16	33652.6	0	GRN
437	173	33536	0	CON
438	82	33531	0	LIB
439	134	33425.3	0	NDP
440	174	33344.4	0	CON
441	135	33179.5	0	NDP
442	175	33154.9	0	CON
443	2	33142.7	0	SPL
444	83	33131.9	0	LIB
445	26	33015.7	0	BlQ
446	176	32967.6	0	CON
447	136	32937.3	0	NDP
448	177	32782.4	0	CON
449	84	32742.1	0	LIB
450	137	32698.6	0	NDP
451	178	32599.3	0	CON
452	138	32463.4	0	NDP
453	3	32425.8	0	Oth
454	179	32418.2	0	CON
455	85	32361.3	0	LIB
456	180	32239.1	0	CON
457	139	32231.5	0	NDP
458	181	32061.9	0	CON
459	140	32002.9	0	NDP
460	86	31989.4	0	LIB
461	182	31886.7	0	CON
462	27	31836.6	0	BlQ
463	17	31783.1	0	GRN
464	141	31777.5	0	NDP
465	183	31713.4	0	CON
466	87	31625.9	0	LIB
467	142	31555.3	0	NDP
468	184	31542	0	CON
469	185	31372.4	0	CON
470	143	31336.2	0	NDP
